model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,4,2,10,0.1444694771267359
1,2,4,2,11,0.0302396688721436
1,2,4,2,12,0.1092412942218215
1,2,4,2,13,0.0003794185860703
1,2,4,2,14,0.3719824603118857
1,2,4,2,15,0.0022686668718691
1,2,4,2,18,0.0263871354829293
1,2,4,2,19,0.0090867604957581
1,2,4,2,20,0.0146510812398443
1,2,4,2,23,2.6120110638933325e-05
1,2,4,2,24,9.448914896328562e-06
1,2,4,2,27,6.086690761617117e-05
1,2,4,2,28,8.609818241322769e-05
1,2,4,2,29,7.2301667552097e-05
1,2,4,2,30,0.0004230404768375
1,2,4,2,31,0.0057903656079362
1,2,4,2,32,0.038513011827254
1,2,4,2,33,0.16532427529624
1,2,4,2,34,0.0403225023365914
1,2,4,2,35,0.0235584028916493
1,2,4,2,36,0.0235963778328454
1,2,4,2,37,0.0072349313810141
1,2,4,2,38,0.0003063725519522
1,2,4,2,39,0.0103131531075661
1,2,4,2,40,0.103970960380912
1,2,4,2,41,0.0129078959290037
1,2,4,2,42,0.0073681324442613
1,2,4,2,43,0.1416891255371922
1,2,4,2,44,0.0317753354410094
1,2,4,2,45,0.0288740219234568
1,2,4,2,46,0.0032720281881218
1,2,4,2,47,0.0215073527641577
1,2,4,2,48,0.0041029219307505
1,2,4,2,49,0.0002437275565476
1,2,4,2,50,0.0113969247798825
1,2,4,2,51,0.0053947716161891
1,2,4,2,52,0.0044760349789856
1,2,4,2,53,0.0244409965548177
1,2,4,2,54,0.0143330137163148
1,2,4,2,55,0.0408454084137358
1,2,4,2,56,0.0329393989766895
1,2,4,2,57,1.8626289760170112
1,2,4,2,58,0.0002129011314029
1,2,4,2,59,7.054728471784578
1,2,4,2,60,0.0350968055542874
1,2,4,2,61,0.0031355898776223
1,2,4,2,62,0.0100222278755902
1,2,4,2,63,2.895171158635253
1,2,4,2,64,0.0429136789217199
1,2,4,2,65,0.1963545837424637
1,2,4,2,66,0.1348850183370158
1,2,4,2,67,0.0205978414328867
1,2,4,2,68,0.0165488058892893
1,2,4,2,69,0.2402806730980941
1,2,4,2,70,0.1179287981036394
1,2,4,2,71,0.0392599253339415
1,2,4,2,72,0.2554184975452569
1,2,4,2,73,0.1307152792320997
1,2,4,2,74,0.0068524587410663
1,2,4,2,75,7.638347291638836e-10
1,2,4,2,76,0.0131268806309453
1,2,4,2,77,0.0052070997687824
1,2,4,2,78,0.0018952118410221
1,2,4,2,79,0.0038783545281957
1,2,4,2,80,0.0075461409192891
1,2,4,2,81,0.0103008097773597
1,2,4,2,82,0.0016393135482782
1,2,4,2,83,0.0014162454262594
1,2,4,2,84,0.0145464794622445
